Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verified,User Since,Location,Bio,Is Retweeted,Reply to User ID,Latitude,Longitude,Profile Image
10/11/2016 00:29:10,harrystyvles,kat,philippines slept on sen miriam defensor santiago. rip my love. https://t.co/gvKTVnlKib,785638336303992832,Twitter for Android,7156,3597,0,1,No,03/09/2011 11:30:00,,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/785120335192477696/y7VL_UAw_normal.jpg"", ""View"")"
10/11/2016 00:28:30,mrqzmonaaa,Mona Marquez,RT @senmiriam: Senator Miriam Defensor Santiago died peacefully today at 8:52 a.m. Details of the interment will be announced later. (1/2),785638169760763904,Twitter for Android,45,135,10632,0,No,04/08/2016 03:28:53,"Taguig City, Philippines",Dream it. Believe it. Achieve it.,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/731470632207011845/scvyXFhy_normal.jpg"", ""View"")"
10/10/2016 23:03:29,reah_maria,Reah Cadorna,RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…,785616773504704512,Twitter for iPad,508,342,523,0,No,08/01/2012 21:07:04,Guyana,what's good twitter?,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/740366108763492352/RDdJ65gl_normal.jpg"", ""View"")"
10/10/2016 19:20:36,AmylouiseMoya,Amylouise Moya,"RT @ABSCBNNews: Narciso Santiago: 'Yung pagmamahal, pagpuri sa kanya (Miriam Defensor-Santiago) sana nagawa noong nabubuhay pa siya https:/…",785560682154471424,Twitter for Android,4,9,376,0,No,08/13/2016 04:05:44,"Batangas City, Calabarzon","Sweet,honest,loving,cute",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/767316885935226880/OQSovoaB_normal.jpg"", ""View"")"
10/10/2016 18:17:13,Anth6F,anth6DyGaFisher,RT @senmiriam: Senator Miriam Defensor Santiago died peacefully today at 8:52 a.m. Details of the interment will be announced later. (1/2),785544731770122240,Twitter Web Client,1,0,10632,0,No,10/09/2016 19:03:21,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/785509527697367045/-QbKQ9vW_normal.jpg"", ""View"")"
10/10/2016 17:24:41,LazyBored2000,LazyBored2000,"@JamPeteBA1971 @JP_ChristInYou @LazyBored2000 Hail to the Lady Senator!!!...We will Miss You, Senator Miriam Defens… https://t.co/7162F6UQmB",785531511927812096,Twitter Web Client,116,36,0,0,No,06/09/2016 06:05:48,"Las Pinas City Bacoor,Cavite",Ako ay Bored pag walang makachat /Top / Mahilig sa Bagets 13-19 yrs. at MedyoBata 20-25 yrs. / Tweet me if you are Game,No,714091290447577088,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/740788180597772288/9_TJmSnG_normal.jpg"", ""View"")"
10/10/2016 17:22:41,KarlDrei01,Carl Andrei,"RT @inquirerdotnet: .@senmiriam: ""Some people are like  cancer cells."" 

#RIPMiriam https://t.co/kxo08aAZXl https://t.co/XwLM3jk7JU",785531006556090368,Twitter for Android,1871,26,309,0,No,04/19/2016 03:55:16,,15 l Student l LOL Player Role Mid Lane | Experience please?,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/722275531232645120/gw8NXJNm_normal.jpg"", ""View"")"
10/10/2016 17:21:58,salesonheels,Martha G. Bautista,"RT @iamsuperbianca: Nakikiisa sa pagdadalamhati sa pagpanaw ni Miriam Defensor Santiago. One of the greats. Salamat sa lahat, Ma'am. 🙏",785530830017835008,Twitter for Android,152,460,406,0,No,07/10/2010 14:29:46,Philippines,"currently learning life's complexities, yet i'm enjoying...:)",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/1810319374/bridesmaid_full_face_normal.jpg"", ""View"")"
10/10/2016 17:15:54,daisylinyambao,∂αιѕуℓιи 🌼,"RT @gillymarasigan: ""If I could go back in time, di ko ibubuhos ang oras ko sa pag-aaral."" -Miriam Defensor Santiago",785529300598550529,Twitter for Android,117,112,2,0,No,04/14/2016 19:53:04,IRELAND,Proud EXO-L ♡ • kpop and kdrama enthusiast since 2010 • kathniel x bailona • ginebra for life team nsd  //  less judgment. MORE KINDNESS ツ,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/783362676122583040/c97XnuxU_normal.jpg"", ""View"")"
10/10/2016 16:41:49,jrlaput,Wilfredo Laput Jr,RT @harold_geronimo: The late Sen. Miriam Defensor-Santiago explains why Duterte's exaggerated statements shouldn't be taken seriously. htt…,785520724320464896,Twitter for iPhone,127,522,8,0,No,07/28/2009 02:24:51,"ÜT: 14.563292,121.079099",minimal // direwolf // fika,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/667614092341866496/23DNlOLY_normal.jpg"", ""View"")"
10/10/2016 16:21:45,z5_la,paLaZ5NCmbert,RT @senmiriam: Senator Miriam Defensor Santiago died peacefully today at 8:52 a.m. Details of the interment will be announced later. (1/2),785515673275498497,Twitter Web Client,3,0,10632,0,No,10/09/2016 17:16:36,,,No,,,,"=HYPERLINK(""http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png"", ""View"")"
10/10/2016 16:08:29,taurean_tiger,Eleanor YAP-Manalo,WATCH: Children pay tribute to Miriam Defensor Santiago https://t.co/rzHdDBGEJW,785512333514866688,Facebook,36,128,0,0,No,07/01/2010 01:44:59,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/2539454425/rkk1h5080155u1iqzr68_normal.jpeg"", ""View"")"
10/10/2016 15:58:43,karlzulueta,Karl Zulueta,RT @cnnphilippines: Relive some of the most memorable pick up lines of Senator Miriam Defensor Santiago. https://t.co/V09Zb6tKlf #RIPMiriam…,785509876940230656,Twitter for iPhone,468,372,296,0,No,01/21/2012 01:21:02,Instagram: karlgzulueta,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/611946553461182464/pU9gbweJ_normal.jpg"", ""View"")"
10/10/2016 15:58:26,zendalljenner,Ging Ging Hadid,"Minsan naisip ko talagang maging Miriam Defensor Santiago. If I was that strong, bold, and smart; I'd probably slapped hundred pips by now.😂",785509806471643136,Twitter for Android,127,468,0,0,No,11/22/2009 06:45:11,Earth,Miracles do happen even in your deepest crestfalleness.,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/764519531255517184/-GdmSm7Z_normal.jpg"", ""View"")"
10/10/2016 15:22:48,debsdevs,nieves solanna,RT @Senyora: Maraming Salamat Sen. Miriam Defensor Santiago. Nagluluksa ang buong Pilipinas 😔,785500838718377984,Twitter for iPhone,1772,4224,5076,0,No,04/27/2014 03:52:23,Neverland☄,Knoxx's Riguel's Percival's Lienzo's,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/779477217331990528/DbNsmtSS_normal.jpg"", ""View"")"
10/10/2016 15:03:46,nerishcst,Nerish Eimereen 🌻,"""I will never quit..
I will never stop..
I will never withdraw!""
—Miriam Defensor Santiago",785496049838280704,Twitter for Android,816,626,0,0,No,07/21/2015 10:44:06,,Proverbs 31:25 ❤,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/785494291132977153/v8GfwVsP_normal.jpg"", ""View"")"
10/10/2016 14:33:06,elileymanasan,ㅤ,"Kung wala kang masagot sa exam, isulat mo ""MAGMAHAL"" dahil wala naman mali sa magmahal. -Sen. Miriam Defensor Santiago  🙏💕",785488330909704196,Twitter for Android,946,396,0,1,No,01/22/2013 13:20:39,rácr • jai,"I'm the girl, you'll never be! •folka •TRUST NO ONE 👌 •m o o d y 😢",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/785480911907352576/Y3r7aKVr_normal.jpg"", ""View"")"
10/10/2016 14:08:27,CarlaRaeJepsens,Carla Mae Maximo,RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…,785482127936598016,Twitter for Android,186,70,523,0,No,10/18/2013 05:39:51,Pilipinas,"If others can,why can't you?! GOD BLESS! :-)",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/729956479420145664/TU7GbRJz_normal.jpg"", ""View"")"
10/10/2016 13:45:27,leiganders,LEI✨,"RT @gillymarasigan: ""If I could go back in time, di ko ibubuhos ang oras ko sa pag-aaral."" -Miriam Defensor Santiago",785476338467479553,Twitter for iPhone,73,194,2,0,No,07/31/2016 05:56:01,volleyball,Student📚 // Athlete🏐 // Nigguh👸🏾 //,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/785132760398639104/6y4zRoZL_normal.jpg"", ""View"")"
10/10/2016 13:27:38,bosespagbabago,Beaware2016,RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…,785471856081981440,Twitter for iPhone,17,28,523,0,No,07/22/2015 11:29:19,,( Bagong Acct. ) Mission: Ipa-alam sa mga kababayang Pilipino na tayo lang ang pag-asa sa pagbabago ng Pilipinas. Wag maging ignorante. Alamin ang nangyayari,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/624141638089084928/8FWZUdmD_normal.jpg"", ""View"")"
10/10/2016 13:24:39,CeletariaAngel,Angel celetaria 😝,"RT @StarCinema: Ating balikan ang 'di malilimutang istorya ng buhay ng ""Iron Lady of Asia,"" Miriam Defensor-Santiago, bukas sa #MMK… https:…",785471104299040768,Twitter for Android,72,422,74,0,No,01/31/2016 09:02:49,"Rizal, Calabarzon","Pretending that I don't care anymore 
but the truth is it hurts 💔
my mcris heart😭💔❤

Maris racal 
SHARLENE _SANPEDRO 
NASHLENE ❤ SHARQUIN 
Sophia Corine 👯❤",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/778484103737806848/5qNXw_Dj_normal.jpg"", ""View"")"
10/10/2016 13:04:29,Elcid_Cinco,Eliseo Cinco III,President Rodrigo Duterte wake visit to the Late Senator Miriam Defensor-Santiago 10/2/2016 https://t.co/9EYpSkgq3Z,785466028398632960,IFTTT,953,2001,0,0,No,06/03/2010 07:45:13,"Quezon City, Philippines",https://t.co/ElfY6a92YR . https://t.co/XatulojyiR . https://t.co/0MuatzTJnW . https://t.co/FKagjbWOFx,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/770968778112774144/7VqbBA0O_normal.jpg"", ""View"")"
10/10/2016 12:55:45,mapp_ph,MApp PH,"We're third on the list! Read up and find out what #MAppPH is all about.

https://t.co/0EB6VdGHDQ",785463833678663680,Twitter for Android,28,48,0,0,No,08/09/2016 05:07:42,Republic of the Philippines,"We aim to outsmart motherhood in a tap by getting you to places, giving you significant information, and a whole lot of momma-loving support!",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/762879875250163720/sRZ-kOJ4_normal.jpg"", ""View"")"
10/10/2016 12:54:07,iamanyella,iamanyella,"Senator Miriam Defensor Santiago, thank you for serving the Filipino People. Mabuhay po kayo!",785463419755302915,Twitter for Android,19,113,0,0,No,11/27/2015 12:10:14,Taguig City,This is my unfiltered life.,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/761952762548531204/zno8rrtF_normal.jpg"", ""View"")"
10/10/2016 12:40:48,junebride31,jean beltran,Words of Faith by the late Senator Miriam Defensor Santiago https://t.co/3zqZbQYiMZ via @bitlanders,785460071740256256,Twitter Web Client,289,280,0,1,No,05/23/2009 01:57:12,"Cebu, Philippines",scrapbook lover | blogger | aspiring photographer | tech support rep,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/1900469698/iturned24_normal.jpg"", ""View"")"
10/10/2016 11:29:06,Cinco_Windsor,Eliseo Cinco III,Liked on YouTube: President Rodrigo Duterte wake visit to the Late Senator Miriam Defensor-Santiago 10/2/2016 https://t.co/qTBRWmHNuM,785442027668398080,IFTTT,182,354,0,0,No,09/18/2016 16:59:30,"Quezon City, National Capital ","https://t.co/DPbHAhEPrz , https://t.co/H8zse097ri , https://t.co/XatulojyiR .I'm a Martial Artist and Mystic ignoring the world.",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/783671816275439621/IAi2dmzI_normal.jpg"", ""View"")"
10/10/2016 11:23:58,Elcid_Cinco,Eliseo Cinco III,I liked a @YouTube video https://t.co/Ir8xJ3rSMS President Rodrigo Duterte wake visit to the Late Senator Miriam Defensor-Santiago,785440734824505344,Google,953,2001,0,0,No,06/03/2010 07:45:13,"Quezon City, Philippines",https://t.co/ElfY6a92YR . https://t.co/XatulojyiR . https://t.co/0MuatzTJnW . https://t.co/FKagjbWOFx,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/770968778112774144/7VqbBA0O_normal.jpg"", ""View"")"
10/10/2016 11:12:54,ItsArianParker,Arian Parker,"Kakapanood lang ulit ng MMK sa YT, R.I.P
Miriam Defensor Santiago #MMKSenatorMiriam",785437949131313153,Twitter for Android,1,2,0,0,No,10/08/2016 11:16:30,,// Arts // Music // Adventure // Cooking // Baking //Games // Lifestyle // DIYs // Book Lover // Dog lover // More ( *peace* ),No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/784721092430614530/yRALBXro_normal.jpg"", ""View"")"
10/10/2016 11:01:24,tattdsmol,bea,RT @BuzzFeedPH: 14 Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/KT1pDgNx2S https://t.co/MJL8SxKFXr,785435054096863232,Twitter for iPad,2469,930,57,0,No,02/06/2013 11:13:24,long haired louis ya all,where do you wanna sit @seabasstrash,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/783635455661137925/TxWonq2B_normal.jpg"", ""View"")"
10/10/2016 10:42:06,viademesa,Via De Mesa,"RT @LadySponsors: The USTHCOLS mourns for the loss of such an impeccable lady, Sen. Miriam Defensor-Santiago. https://t.co/K6p2JgPqqZ",785430199227682816,Twitter for iPhone,145,102,14,0,No,07/27/2009 02:20:36,Pilipinas,#beachbabe #pastrychefintern #showersinger #inlovewithlife #savedbygracethroughfaith #foreveryoung,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/618115863531491328/a5IR6nn1_normal.jpg"", ""View"")"
10/10/2016 09:47:02,MetroCebuNews,MetroCebuNews Online,"Who Am I and What Really #Matters in #Life?

With the passing away of #Miriam Defensor #Santiago at the age of 71... https://t.co/iyvPFZd4nw",785416340773466112,Facebook,469,3,0,0,No,03/14/2013 03:10:08,Cebu City,A Social News Portal in Cebu,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/644055248919592960/DZhG_6fL_normal.png"", ""View"")"
10/10/2016 09:14:56,toni_powers,Toni Trillana Powers,"""This is goodbye. I shall not importune you any longer. I shall fade into the dark like Batman."" - Sen. Miriam Defe… https://t.co/qx28A3R1ew",785408264087359488,Twitter for iPad,3762,548,0,0,No,06/01/2009 04:56:57,"Manila, Philippines",Fil|Educator|Events host/coordinator|Bosconian|Unstoppable|Foodie|Traveller|Leo|Catholic|UPDiliman|PUPian|Phil 4:13|#SupremeEmcee|Son of GOD♌️,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/736964478391058432/nuQ_3SUe_normal.jpg"", ""View"")"
10/10/2016 08:06:09,xanniecabillan,Xanniestar28,"Minsan gusto ko nalang mag give up sa love eh, kasi sa panahon ngaun coconut oil nalang ang virgin... 😅😅😅 -Miriam Santiago Defensor",785390950499528704,Twitter for iPhone,99,87,0,0,No,10/01/2013 07:36:03,Philippines,God is limitless..i love life! i dream and i conquer!. i love what i do =D I AM A HISTORY MAKER!,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/785498296525520897/S4IG1cmQ_normal.jpg"", ""View"")"
10/10/2016 07:38:03,gillymarasigan,Gillian Marasigan,"""If I could go back in time, di ko ibubuhos ang oras ko sa pag-aaral."" -Miriam Defensor Santiago",785383878764527616,Twitter for Android,73,93,2,3,No,09/24/2016 07:58:31,,"The Lord is with me;
I will not be afraid.",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/782558121533112320/X_ZuiDdU_normal.jpg"", ""View"")"
10/10/2016 07:18:34,mitchy1223,Mitch gatma,Miriam Defensor Santiago is the exact opposite of Sen De lima. MDS is full of principles n dignity.while D5 is full of.... #HouseHearing,785378975686078464,Twitter for Android,104,110,0,4,No,05/29/2011 05:04:46,philippines,be kind to everyone.value everything you have,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/785107269595729920/xoWTrQIH_normal.jpg"", ""View"")"
10/10/2016 06:38:26,NSNdanieng,Daniel Chua,I miss you na Miriam Defensor-Santiago!!!😔😍☺✌❤,785368876871655424,Twitter for Android,4,22,0,1,No,10/08/2016 11:01:34,Angeles City,Single xx Gods Property xx Loving xx Truthful xx Intelligent xx and more....,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/785575147168161792/_BsU31vC_normal.jpg"", ""View"")"
10/10/2016 05:25:51,GraceMajasty,grace ( #OnLy MAJa),"RT @StarCinema: Muling tunghayan ang istorya ng buhay ni Miriam Defensor-Santiago bukas sa #MMKSenatorMiriam !
#MMK25 
For more upd… https:…",785350612787396610,Twitter for Android,170,454,26,0,No,10/05/2015 13:59:22,Muntinlupa City,"simPLe and happy person
super Love c mAJa..At Lahat na konektado xa!!",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/775766317248811008/N7mRxuhG_normal.jpg"", ""View"")"
10/10/2016 05:25:47,GraceMajasty,grace ( #OnLy MAJa),"RT @StarCinema: Muling tunghayan ang istorya ng buhay ni Miriam Defensor-Santiago bukas sa #MMKSenatorMiriam !
#MMK25 
For more upd… https:…",785350595901128704,Twitter for Android,170,454,17,0,No,10/05/2015 13:59:22,Muntinlupa City,"simPLe and happy person
super Love c mAJa..At Lahat na konektado xa!!",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/775766317248811008/N7mRxuhG_normal.jpg"", ""View"")"
10/10/2016 05:25:45,GraceMajasty,grace ( #OnLy MAJa),"RT @StarCinema: Muling tunghayan ang istorya ng buhay ni Miriam Defensor-Santiago bukas sa #MMKSenatorMiriam !
#MMK25 
For more upd… https:…",785350585658716161,Twitter for Android,170,454,12,0,No,10/05/2015 13:59:22,Muntinlupa City,"simPLe and happy person
super Love c mAJa..At Lahat na konektado xa!!",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/775766317248811008/N7mRxuhG_normal.jpg"", ""View"")"
10/10/2016 04:20:26,JodelDacara,Jodel Dacara,Because MDS | 14 Inspirational Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/FazAUyoxC2 via @buzzfeed,785334147346604032,Twitter Web Client,183,420,0,0,No,08/12/2009 07:25:12,Manila,"Filipino. Development worker. Membership Engagement and Capacity Development Officer, @csopartnership_ | Views and opinions mine",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/745222965248294912/Bq4CJ08__normal.jpg"", ""View"")"
10/10/2016 04:12:30,author_seph,J. G. Elas,"In between these Senate hearings and senseless questions, I miss the late Sen. Miriam Defensor-Santiago.",785332153928200192,Twitter for iPhone,570,434,0,2,No,05/21/2014 10:18:56,Republic of the Philippines,Filipino Blogger. Indie Author. Free Thinker. Zamboangueño.,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/785066799448461312/XIKwk2ZI_normal.jpg"", ""View"")"
10/10/2016 03:50:45,wardiflex,Eduardo Balespin,I added a video to a @YouTube playlist https://t.co/EA4Zn4vY9L REMEMBERING FORMER SENATOR MIRIAM DEFENSOR SANTIAGO DIES AT AGE 71 -,785326679552094208,Google,19,28,0,0,No,07/20/2012 02:10:23,,"i luv music, dancing and singing...",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/2414034895/252267_479201782095328_1200943448_n_normal.jpg"", ""View"")"
10/10/2016 03:43:36,AnnJonacel,Jonacel Ann Bagunas,"RT @SirEpreym: We need another Miriam in the Philippine Government. Unfortunately, Miriam Defensor Santiago is irreplaceable. 👌
#MMKSenator…",785324880052891648,Twitter Web Client,127,135,634,0,No,12/24/2014 12:11:07,,"beautiful , sexy , intelligent , cute , charming and gorgeous.
But unfortunately that's not me .",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/782200834683604993/UE8DCvtg_normal.jpg"", ""View"")"
10/10/2016 02:30:02,imzulurbano,zul urbano,"RT @Brigada_GNTV: Tulad ng kaniyang mga hindi malilimutang linya, si Sen. Miriam Defensor-Santiago ay mananatiling buhay sa puso ng bawat P…",785306365019291648,Twitter for Android,7,78,2,0,No,01/10/2016 18:10:15,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/752621875428073472/50EtuHz8_normal.jpg"", ""View"")"
10/10/2016 02:14:43,FabulousRM,♬R.M Marcelo♬,RT @showbiznest: Sen. Miriam Defensor-Santiago found Dead according to husband Jun Santiago. Read report at https://t.co/4WnSltyNWI #RIPMir…,785302509317296129,Twitter for iPhone,497,262,1,0,No,06/30/2010 04:34:30,"Manila, Philippines",Happy go lucky! ⛵ #Travel #Foodie #Fashion #Event #Correspondent IG: FabulousRM,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/513669604535586818/Qj1axvgD_normal.jpeg"", ""View"")"
10/10/2016 02:04:23,Alyyyynrheyn,kudos,"RT @jiangenovana: Sen. Miriam Defensor-Santiago's life story should definitely be a film, in the style of Whiplash.",785299909540925440,Twitter for Android,3475,2720,13,0,No,07/11/2014 08:48:15,♡,la vie est belle,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/716840543196581888/C3p7kfa9_normal.jpg"", ""View"")"
10/10/2016 01:27:05,ItsKarlLovin,LOVIN,RT @justfenech: Saludo kami sayo Sen. Miriam Defensor Santiago. You have been a brilliant example of women empowerment. #MMKSenatorMiriam,785290523107930115,Twitter for Android,312,789,140,0,No,06/16/2014 10:11:28,,"let them talk and talk and talk, let them say what they want.",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/782832794355380224/nJysedM__normal.jpg"", ""View"")"
