Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verified,User Since,Location,Bio,Is Retweeted,Reply to User ID,Latitude,Longitude,Profile Image,Google Maps
10/10/2016 18:02:01,HelpforMDS,BMTx3,Found out if you have a place in the #LondonMarathon? If you have we could use your help! Help us make people #MDS aware &amp; help raise funds!,785540905692528640,Twitter for iPhone,589,1341,2,0,No,11/26/2014 21:12:13,UK,"Raising awareness of Bone Marrow Failure and #MDS - a malignant blood disorder. 3 Bone Marrow Transplants - I don't have views, I have a vision #mdsbloodcancer",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/537717018833612800/2XPDuysp_normal.jpeg"", ""View"")",
10/10/2016 17:10:06,DeportPRIToluca,Deporte PRI Toluca,"RT @mariands2805: #RutaRosa previniendo el cancer de mama. 
#MDS #MiTrabajoesContigo https://t.co/ohN2FPSddY",785527840313708544,Twitter for Android,1811,236,3,0,No,02/02/2012 17:01:16,"Toluca, México",Secretaría del Deporte del Comité Municipal del PRI Toluca; Secretario @GerardoVillanva. #Juventinos,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/450656744675356672/OUYOMuRV_normal.jpeg"", ""View"")",
10/10/2016 15:34:15,reynaldo095,Angel Gallardo,"RT @mariands2805: #RutaRosa previniendo el cancer de mama. 
#MDS #MiTrabajoesContigo https://t.co/ohN2FPSddY",785503719756476416,Twitter for iPad,458,1012,3,0,No,07/08/2012 03:04:51,"Toluca, México",Futuro Licenciado en Ciencias Políticas #UAEMex |PRIista de Corazón y por convicción |Los jóvenes como presente de Mexico,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/668684902561218560/QvWVmQwX_normal.jpg"", ""View"")",
10/10/2016 15:33:59,mariands2805,Marian Díaz Solano,"#RutaRosa previniendo el cancer de mama. 
#MDS #MiTrabajoesContigo https://t.co/ohN2FPSddY",785503654811881472,Twitter for iPad,525,499,3,2,No,01/22/2014 00:06:36,"Toluca, Estado de Mexico","Soy Séptima Regidora de Toluca al igual que tu quiero un mejor país, dime lo que opinas y sientes, interactúa conmigo| Los jóvenes como presente de México.",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/784430379155361792/bmYBKDj3_normal.jpg"", ""View"")",
10/10/2016 15:14:53,DNGPlacement,DNG Placement Svcs,"Now hiring for: MDS Coordinator with a Subacute/Skilled Nursing Facility  in Brooklyn, NY https://t.co/RWd5EMaTrG #MDS",785498848441561088,Bullhorn Reach,99,152,0,0,No,08/04/2014 19:34:46,Long Beach NY,"DNG Placement Svcs is a focused, discreet healthcare & medical recruitment firm in NE USA ~ A proud member of the Better Business Bureau",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/705860251422162944/Nnt0fYwM_normal.jpg"", ""View"")",
10/10/2016 15:10:46,JamesBarnesEsq,James,"RT @MarathonDSUKIRE: If you are competing in #MdS 2017, make sure you read these hints and #tips https://t.co/AIVWspnNtL",785497809411768323,Twitter Web Client,1686,62,1,0,No,03/24/2010 19:13:58,"London & Kent, UK","Co-founder of https://t.co/lfUDcG262v Uptime Monitoring & @playopolisUK. Previously at PartyGaming & BBC. Love all things #tech, #SaaS & #running. #MdS2018",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/649652177556869120/WelhK37__normal.jpg"", ""View"")",
10/10/2016 14:53:00,CarlosUOficial_,CarlosXP AndarilhoJN,RT @Maskdevil: #MDS to ficando louco #Live #GTA5 no #Youtube com duração de 7hs e 45min pura loucura só eu msm pra fazer isso https://t.co/…,785493340812873731,Twitter for Android,76,353,1,0,No,11/01/2015 21:34:48,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/739494513463439360/T5BQTbNd_normal.jpg"", ""View"")",
10/10/2016 14:50:19,patriciodavid29,Patrick!AtTheDisco,"1-hour quick sketch haha 

#MDS https://t.co/nbHtxRZ0Vc",785492665328697345,Instagram,210,513,0,0,No,10/31/2015 00:54:14,I am everywhere.,"Please tell me, you're seeing this too.",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/777836587144978432/u9qwmVxL_normal.jpg"", ""View"")",
10/10/2016 14:25:30,ADauntlessKing,Oikawa.,"#Menciones/#MDs, user está en clase.",785486418802016256,Twitter for Android,77,106,0,1,No,06/26/2016 12:10:39,,"Nº1. Aoba Joshai. Natural talent as a setter. If you're going to hit it, hit it until it breaks.",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/785222772100390912/wLuHBfC8_normal.jpg"", ""View"")",
10/10/2016 14:20:13,rena_fr,rena,"後で要約する

RT @MarathonDSUKIRE: If you are competing in #MdS 2017, make sure you read these hints and #tips https://t.co/rU2M7P5lM3",785485089958301697,Echofon,646,396,0,0,No,01/10/2010 15:10:46,主に関東、長崎県島原市、ﾌﾗﾝｽ・ﾎﾞﾙﾄﾞｰ,旅行／資産運用／万年仏語学習／読書／Madonna／万年ダイエッター／へたれランナー／2013-2016年 4年連続サハラマラソン(モロッコ)完走。2017年も出場。Finisher of  the MDS2013-2016. Mainly tweets in Japanese.,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/2229037914/catbilly_sing_normal.jpg"", ""View"")",
10/10/2016 13:15:45,MarathonDSUKIRE,Marathon des Sables,"If you are competing in #MdS 2017, make sure you read these hints and #tips https://t.co/AIVWspnNtL",785468865451028480,Hootsuite,2156,963,1,3,No,11/26/2010 11:46:28,,"The organising body for UK & Ireland runners looking to enter the crazy hot ultra Marathon des Sables, tipped 'the toughest foot-race on earth.'",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/780816522134577152/gmlvPrKE_normal.jpg"", ""View"")",
10/10/2016 13:15:09,HeretoHelpMDS,Here to Help MDS,RT @AGP_hematology: In a meta analysis HAG regimen appeared to be more effective and better tolerated than intensive chemotherapy in #MDS a…,785468713696890880,Twitter Web Client,32,202,1,0,No,09/26/2016 09:48:08,World Awareness Day 25th Oct,MDS Disease Awareness Campaign,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/780344523578863616/wd3oemFv_normal.jpg"", ""View"")",
10/10/2016 13:10:05,LinfomasAr,Linfomas Argentina,Mayoría de los pacientes (86 %) con #MDS son más de 60 años y menos de 10% de los pacientes son menor de 50… https://t.co/DXMrwMoNUM,785467437672230913,Twitter for iPad,1390,960,2,2,No,02/01/2011 16:47:09,Argentina,"Asociación de pacientes con linfoma ,mielodisplasia y mielofibrosis en Argentina.MIembro de Lymphoma Coalition ,Alianza Latina ,UICC,Alianza MDS",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/3741737408/8800479d8bfa99f6fcb3450329fa0555_normal.jpeg"", ""View"")",
10/10/2016 13:06:15,fatmasc93,F.❤️,Missyou both.😘😍 #MDS 💜 smileymyles https://t.co/OHKtBVwSN2,785466473259163648,Instagram,67,185,0,0,No,09/15/2016 16:37:23,"Marawi City, Autonomous Region Of Muslim Mindanao",ig & musical.ly : @fatmasc93,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/782979280678494209/AMhjW7ky_normal.jpg"", ""View"")",
10/10/2016 12:01:19,DNGPlacement,DNG Placement Svcs,"Hiring Now: MDS Coordinator with a Subacute/Skilled Nursing Facility  in Brooklyn, NY https://t.co/emYizSwSG4 #MDS",785450132078755840,Bullhorn Reach,99,152,0,0,No,08/04/2014 19:34:46,Long Beach NY,"DNG Placement Svcs is a focused, discreet healthcare & medical recruitment firm in NE USA ~ A proud member of the Better Business Bureau",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/705860251422162944/Nnt0fYwM_normal.jpg"", ""View"")",
10/10/2016 10:01:33,MediComOncology,MediCom Oncology,Dont miss the FREE webinar coming in October! Treatment-related Adverse Effects in #MDS w/ Dr. Amy DeZern https://t.co/1xRKvsMkEB,785419991952855040,Hootsuite,40,61,0,0,No,03/02/2016 17:53:35,"Pennsylvania, USA","A dynamic network of websites that provide oncology HCPs w/ clinically relevant education, tools & resources across solid tumors & hematologic malignancies",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/705377654262861824/CIyL6HQp_normal.jpg"", ""View"")",
10/10/2016 08:27:38,MyDoggyStore_FR,My Doggy Store,"Nos Super-héros !
Disponible ici &gt;&gt; https://t.co/LirtX2CMKt

#mds #chien #batman #superman #superheros… https://t.co/WmeDUsRKjs",785396357343350784,Twitter Web Client,153,124,0,1,No,05/18/2016 20:58:32,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/733040453411540997/uMQmF9iv_normal.jpg"", ""View"")",
10/10/2016 08:10:46,HeretoHelpMDS,Here to Help MDS,15 days 2 go until #MDS World Awareness Day &amp; #heretohelpmds campaign launch #mdsalliance #myelodysplasia… https://t.co/MYeWxokyWk,785392112003055616,Twitter Web Client,32,202,0,0,No,09/26/2016 09:48:08,World Awareness Day 25th Oct,MDS Disease Awareness Campaign,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/780344523578863616/wd3oemFv_normal.jpg"", ""View"")",
10/10/2016 07:43:35,MyDoggyStore_FR,My Doggy Store,"Colliers en cuir - Fabrication artisanale
 Disponible &gt;&gt; https://t.co/X0Fu04E7AD 

 #mds #mydoggystore #chien #cuir… https://t.co/G99F1QKVP2",785385271751745536,Twitter Web Client,153,124,0,0,No,05/18/2016 20:58:32,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/733040453411540997/uMQmF9iv_normal.jpg"", ""View"")",
10/10/2016 07:37:53,CharmieEndita,Charmie O. Endita,"Omo! 감사합니다 @BOGUMM, #MDS staff for choosing Cebu, Philippines for vacation. @jhovzrock pls get me here in Mla. now! https://t.co/20bxQAtxyq",785383839703064576,Twitter Web Client,792,897,0,1,No,12/31/2009 03:49:23,Republic of the Philippines,Believer. Filipino. Patriot. Introvert. Writer. Book Lover. Music Enthusiast. Learning another language. Worthless but blessed. (Rom.9:16;8:28),No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/662629135685189632/khH4mY2N_normal.jpg"", ""View"")",
10/10/2016 07:35:18,AdamAcworth,Adam Acworth,Six months today until the start of the 2017 @marathonDsables. #MdS #Sahara,785383190450012160,Twitter for iPhone,6259,87,0,2,No,06/24/2013 21:46:06,London,Founder @SantaraGroup. 2017 Marathon Des Sables. Charity #Mencap,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/756584278029373440/yZFPsRGe_normal.jpg"", ""View"")",
10/10/2016 06:55:27,MyDoggyStore_FR,My Doggy Store,"Colliers en cuir véritable - Fabrication artisanale
Disponible ici &gt;&gt; https://t.co/X0Fu04E7AD

 #mds  #mydoggystore… https://t.co/IHnGYV2JR1",785373159113551872,Twitter Web Client,153,124,0,1,No,05/18/2016 20:58:32,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/733040453411540997/uMQmF9iv_normal.jpg"", ""View"")",
10/10/2016 05:57:55,selenaitzeldrew,itzy♡Mía Mds♥,RT @selenaitzeldrew: #SOMOS #MIA #MDS #youtube #ABURRIDA https://t.co/2LOLsEz7M6,785358679600017409,Twitter Web Client,321,1246,1,0,No,09/10/2015 00:37:36,,"17 años:3 /belieber megustaRAP/youtubers/soltera/sigueme&TeSigo✌FB:mia mds Revista mi vineMi instagram:3 como: itzy 
YouTube Mía mds ✌ https://t.co/ynLlLQuYMJ",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/775555375923736576/BVofdnEq_normal.jpg"", ""View"")",
10/10/2016 05:35:26,MFAM_PEF,MFAM Enfance Famille,"RT @Maine_et_Loire: #SOLIDARITÉS49
Un atelier bébés est organisé le 11/10 à la #MDS des #Mauges.
Inscription gratuite au 02 41 49 76 10 #Ch…",785353024046858240,Twitter for Android,200,170,1,0,No,05/26/2015 12:26:33,,"Organisme mutualiste à but non lucratif, la Mutualité française Anjou-Mayenne rassemble un vaste réseau de services de soins et d’accompagnement.",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/603198921494659073/4lXxT3r9_normal.jpg"", ""View"")",
10/10/2016 01:17:12,HH_Technology,Technology Jobs | HH,#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/7zsK5d34qj,785288035021697025,hh_technology,2372,1932,0,0,No,05/03/2012 07:43:05,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/543263084735787010/32MyAWdQ_normal.png"", ""View"")",
10/10/2016 01:17:08,HH_Technology,Technology Jobs | HH,#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/ItdVaJGcfw,785288019808890882,hh_technology,2372,1932,0,0,No,05/03/2012 07:43:05,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/543263084735787010/32MyAWdQ_normal.png"", ""View"")",
10/10/2016 01:08:57,HH_Technology,Technology Jobs | HH,#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/vyuaAHfX46,785285959558373376,hh_technology,2372,1932,0,0,No,05/03/2012 07:43:05,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/543263084735787010/32MyAWdQ_normal.png"", ""View"")",
10/10/2016 00:20:44,MISTER_DARSEY,Darsey R. Miller,#misterdarsey #misterdarseyshow #mds #update https://t.co/DV7fdxs5zi,785273827592896512,Instagram,216,395,0,1,No,07/17/2010 13:17:40,"Lexington, KY",BUILD DESTROY REPEAT,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/772140695469555712/hFo2YHlG_normal.jpg"", ""View"")",
10/09/2016 23:57:00,haydee2003,Haydee A.Gonzalez,RT @LinfomasAr: @HeretoHelpMDS campaña video que pronto será revelado #20days2go #campaign #MDS #MDSalliance #diseaseawareness https://t.co…,785267855071870976,Twitter for iPad,657,1150,1,0,No,05/16/2009 21:18:07,"Buenos Aires, Haedo","Odontologa, Presidente de Asociacion CIvil LInfomas Argentina",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/673709759531524097/i-hY-zdQ_normal.jpg"", ""View"")",
10/09/2016 23:24:11,PoetForNow,PequenaPoeta,"Ele Pediu Pra Minha Mãe kk 😱
#Mds",785259593395900416,Twitter for Android,2,28,0,0,No,10/08/2016 02:46:56,,"Prefiro me esconder atras das redes sociais, pois tenho medo de não ser a garota dos seus sonhos  *-*",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/784767441649881088/m3Ai7MNt_normal.jpg"", ""View"")",
10/09/2016 22:48:50,CurvaCollective,Curva Collective,"@wfc2 no home match, but we look forward to supporting you from afar as you smash #SwopeParkRangers to the tune of 6-0...or 6-1! #MDS #VWFC",785250699101691905,Twitter for iPhone,2708,1444,0,2,No,02/28/2012 10:03:38,Section 203/204,We are...who we are.,No,1373310422,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/750050275365310465/kTpTPqUL_normal.jpg"", ""View"")",
10/09/2016 19:37:36,DNGPlacement,DNG Placement Svcs,"Accepting Applications: MDS Coordinator with a Subacute/Skilled Nursing Facility  in Brooklyn, NY https://t.co/YW8RSlpKeO #MDS",785202574563639296,Bullhorn Reach,99,152,0,0,No,08/04/2014 19:34:46,Long Beach NY,"DNG Placement Svcs is a focused, discreet healthcare & medical recruitment firm in NE USA ~ A proud member of the Better Business Bureau",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/705860251422162944/Nnt0fYwM_normal.jpg"", ""View"")",
10/09/2016 19:06:05,eu_sofinatico,sofia pls???,#Eliana dizendo que o vídeo do @mcgui_oficial é famoso #mds 50kk a #5H consegue em um dia no ar,785194639980687360,Twitter for Android,2213,421,0,0,No,02/22/2014 23:03:28,monte santo,"09/10/2016 sofia
estudante,futuro ator da rede globo 
jeandersoncosta3377@outlook.com
(75)98031285
https://t.co/fa4UFzgmkM
https://t.co/sVSbYqv8nT",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/784508679974453248/MwAqy_Mp_normal.jpg"", ""View"")",
10/09/2016 17:20:06,AtilaVieira2,JAPA,"RT @NanySilvaw: No meu twitter só da vc @AtilaVieira2 
#Mds",785167968980303872,Twitter for Android,107,40,1,0,No,05/21/2016 21:26:55,"Vila Velha, Brasil",As coisas mudam e as lembranças passam,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/784546504941924355/plsKLKYg_normal.jpg"", ""View"")",
10/09/2016 17:15:46,NanySilvaw,Daniele Silva,"No meu twitter só da vc @AtilaVieira2 
#Mds",785166881363783681,Twitter for Android,61,247,1,1,No,09/24/2016 03:14:52,"Vila Velha, Brasil","' Vc pode ser oque quiser, basta acreditar 🍃🌸",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/781320872846102529/3sx9Ynxo_normal.jpg"", ""View"")",
